"income","hhsize","HHT","auto_ownership","num_workers","sample_rate","income_in_thousands","income_segment","median_value_of_time","hh_value_of_time","num_non_workers","num_drivers","num_adults","num_children","num_young_children","num_children_5_to_15","num_children_16_to_17","num_college_age","num_young_adults","non_family","family","home_is_urban","home_is_rural","hh_work_auto_savings_ratio","num_under16_not_at_school","num_travel_active","num_travel_active_adults","num_travel_active_preschoolers","num_travel_active_children","num_travel_active_non_preschoolers","participates_in_jtf_model","joint_tour_frequency","num_hh_joint_tours","household_id","home_zone_id"
270000,5,1,2,1,0.001,270,4,12.86,46.84092392391818,4,5,5,0,0,0,0,1,2,false,true,true,false,1,0,4,4,0,0,4,true,"0_tours",0,134902,142
1000000,3,0,2,2,0.001,1000,4,12.86,5.013960860224402,1,3,3,0,0,0,0,0,2,false,false,true,false,2,0,3,3,0,0,3,true,"0_tours",0,112678,25
90000,2,0,1,2,0.001,90,3,10.44,1.7029737893217949,0,2,2,0,0,0,0,0,0,false,false,true,false,2,0,2,2,0,0,2,true,"0_tours",0,15483,114
90000,2,2,2,1,0.001,90,3,10.44,21.327761686243644,1,2,2,0,0,0,0,0,0,false,true,true,false,1,0,2,2,0,0,2,true,"0_tours",0,134198,129
90000,3,1,1,1,0.001,90,3,10.44,14.205174417731806,2,2,2,1,0,1,0,0,0,false,true,true,false,1,0,2,1,0,1,2,true,"0_tours",0,157339,138
90000,1,5,1,1,0.001,90,3,10.44,6.750431061250439,0,1,1,0,0,0,0,1,0,true,false,true,false,1,0,1,1,0,0,1,false,"0_tours",0,35103,26
1000000,2,1,2,1,0.001,1000,4,12.86,4.083874536527451,1,2,2,0,0,0,0,0,1,false,true,true,false,1,0,2,2,0,0,2,true,"1_Visit",1,104810,157
270000,2,2,1,2,0.001,270,4,12.86,1.0676633226137735,0,2,2,0,0,0,0,2,0,false,true,true,false,2,0,2,2,0,0,2,true,"0_tours",0,118555,92
540000,2,2,2,2,0.001,540,4,12.86,16.430296620402764,0,2,2,0,0,0,0,1,0,false,true,false,false,2,0,2,2,0,0,2,true,"0_tours",0,38054,154
1000000,1,5,1,0,0.001,1000,4,12.86,27.438954591931545,1,1,1,0,0,0,0,0,0,true,false,false,false,0,0,1,1,0,0,1,false,"0_tours",0,176974,21
270000,4,1,4,1,0.001,270,4,12.86,2.812681641938496,3,2,2,2,1,1,0,0,1,false,true,true,false,1,0,4,2,1,2,3,true,"0_tours",0,17367,22
1000000,4,1,1,2,0.001,1000,4,12.86,29.492550751714543,2,2,2,2,2,0,0,0,2,false,true,true,false,2,0,4,2,2,2,2,true,"1_Disc",1,64207,115
540000,1,5,1,1,0.001,540,4,12.86,2.45228378380601,0,1,1,0,0,0,0,0,0,true,false,true,false,1,0,0,0,0,0,0,false,"0_tours",0,123530,54
1000000,6,4,2,2,0.001,1000,4,12.86,9.897155275168165,4,5,4,3,1,2,1,0,0,true,false,true,false,2,2,5,2,1,3,4,true,"0_tours",0,17826,22
1000000,3,1,1,1,0.001,1000,4,12.86,8.380967402627931,2,2,2,1,1,0,0,0,0,false,true,true,false,1,0,3,2,1,1,2,true,"0_tours",0,62109,147
1000000,3,1,1,1,0.001,1000,4,12.86,10.152973550419963,2,2,2,1,0,1,0,0,0,false,true,true,false,1,0,3,2,0,1,3,true,"0_tours",0,127462,48
90000,1,5,1,0,0.001,90,3,10.44,18.229762409282838,1,1,1,0,0,0,0,0,0,true,false,true,false,0,0,1,1,0,0,1,false,"0_tours",0,89753,19
90000,3,1,1,0,0.001,90,3,10.44,3.907919547525332,3,2,2,1,0,1,0,0,0,false,true,true,false,0,0,3,2,0,1,3,true,"1_Shop",1,13594,145
1000000,3,1,2,1,0.001,1000,4,12.86,17.085095071688826,2,1,1,2,0,2,0,0,0,false,true,true,false,1,0,3,1,0,2,3,true,"0_tours",0,177492,1
540000,5,1,2,2,0.001,540,4,12.86,32.42774401114853,3,2,2,3,1,2,0,0,1,false,true,false,false,2,0,4,1,1,3,3,true,"0_tours",0,180763,177
1000000,2,2,1,2,0.001,1000,4,12.86,12.287408107857049,0,2,2,0,0,0,0,0,0,false,true,true,false,2,0,0,0,0,0,0,false,"0_tours",0,105864,112
90000,1,5,1,1,0.001,90,3,10.44,50,0,1,1,0,0,0,0,0,1,true,false,true,false,1,0,1,1,0,0,1,false,"0_tours",0,154882,173
540000,4,1,1,2,0.001,540,4,12.86,50,2,2,2,2,0,2,0,0,0,false,true,true,false,2,0,3,1,0,2,3,true,"0_tours",0,151585,156
1000000,3,1,3,2,0.001,1000,4,12.86,2.39299502790233,1,3,3,0,0,0,0,1,0,false,true,false,false,2,0,3,3,0,0,3,true,"0_tours",0,8979,34
1000000,4,1,1,2,0.001,1000,4,12.86,7.468480805602756,2,3,3,1,0,1,0,0,2,false,true,true,false,2,0,4,3,0,1,4,true,"0_tours",0,161729,10
270000,2,2,1,2,0.001,270,4,12.86,25.197987755191694,0,2,2,0,0,0,0,0,0,false,true,true,false,2,0,2,2,0,0,2,true,"0_tours",0,170490,180
270000,2,2,2,0,0.001,270,4,12.86,9.093874136020995,2,2,2,0,0,0,0,0,0,false,true,false,false,0,0,2,2,0,0,2,true,"1_Shop",1,175537,21
90000,4,1,1,2,0.001,90,3,10.44,20.972449334115,2,3,2,2,0,1,1,0,0,false,true,true,false,2,1,4,2,0,2,4,true,"0_tours",0,33924,57
270000,3,4,1,1,0.001,270,4,12.86,10.307738957757314,2,2,2,1,1,0,0,0,1,true,false,true,false,1,0,2,1,1,1,1,true,"0_tours",0,54803,52
270000,2,4,2,2,0.001,270,4,12.86,1.6226886541990786,0,2,2,0,0,0,0,0,1,true,false,true,false,2,0,2,2,0,0,2,true,"0_tours",0,30170,30
540000,2,2,2,2,0.001,540,4,12.86,10.939098768947197,0,2,2,0,0,0,0,0,0,false,true,true,false,2,0,2,2,0,0,2,true,"0_tours",0,114484,146
540000,6,4,3,3,0.001,540,4,12.86,25.59237359566409,3,6,6,1,0,1,0,0,0,true,false,true,false,3,0,6,5,0,1,6,true,"0_tours",0,64114,165
90000,4,1,1,3,0.001,90,3,10.44,6.952236007257149,1,3,2,2,0,1,1,0,0,false,true,true,false,3,0,4,2,0,2,4,true,"0_tours",0,125467,160
540000,1,5,1,0,0.001,540,4,12.86,23.928316762296948,1,1,1,0,0,0,0,0,0,true,false,true,false,0,0,1,1,0,0,1,false,"0_tours",0,52289,152
90000,1,5,1,0,0.001,90,3,10.44,7.613785464721384,1,1,1,0,0,0,0,0,1,true,false,false,false,0,0,1,1,0,0,1,false,"0_tours",0,147897,91
270000,1,5,1,1,0.001,270,4,12.86,20.747647321798496,0,1,1,0,0,0,0,0,0,true,false,false,false,1,0,1,1,0,0,1,false,"0_tours",0,45976,20
270000,4,0,1,3,0.001,270,4,12.86,4.682164635514298,1,4,4,0,0,0,0,0,1,false,false,true,false,3,0,4,4,0,0,4,true,"0_tours",0,57231,72
1000000,3,1,2,2,0.001,1000,4,12.86,11.392466487321828,1,2,2,1,0,1,0,0,0,false,true,true,false,2,0,3,2,0,1,3,true,"0_tours",0,144182,90
90000,6,2,1,6,0.001,90,3,10.44,8.5019020185102,0,6,6,0,0,0,0,0,2,false,true,true,false,6,0,3,3,0,0,3,true,"0_tours",0,124464,160
90000,2,0,0,0,0.001,90,3,10.44,13.930335859580127,2,2,2,0,0,0,0,0,0,false,false,true,false,0,0,1,1,0,0,1,false,"0_tours",0,168915,176
1000000,6,1,2,4,0.001,1000,4,12.86,22.481648712048113,2,4,4,3,1,2,0,0,2,false,true,true,false,4,0,6,3,1,3,5,true,"0_tours",0,31107,30
90000,4,1,1,1,0.001,90,3,10.44,7.469524726249396,3,2,2,2,1,1,0,0,2,false,true,true,false,1,2,4,2,1,2,3,true,"0_tours",0,32001,18
1000000,5,1,3,1,0.001,1000,4,12.86,6.776448780711166,4,3,3,2,1,2,0,0,0,false,true,false,false,1,0,4,2,1,2,3,true,"0_tours",0,46746,121
270000,5,1,3,2,0.001,270,4,12.86,50,3,4,4,1,0,1,0,1,1,false,true,true,false,2,0,5,4,0,1,5,true,"0_tours",0,75390,113
1000000,4,1,1,1,0.001,1000,4,12.86,4.51609848976551,3,2,2,2,0,2,0,0,0,false,true,true,false,1,2,1,1,0,0,1,false,"0_tours",0,143111,23
270000,3,1,1,2,0.001,270,4,12.86,7.882611040744878,1,2,2,1,0,1,0,0,0,false,true,true,false,2,0,3,2,0,1,3,true,"0_tours",0,39372,125
1000000,2,2,1,2,0.001,1000,4,12.86,3.5576684213862273,0,2,2,0,0,0,0,0,2,false,true,true,false,2,0,2,2,0,0,2,true,"0_tours",0,100239,89
1000000,3,1,2,2,0.001,1000,4,12.86,15.757025968844433,1,2,2,1,1,0,0,0,2,false,true,true,false,2,0,3,2,1,1,2,true,"0_tours",0,122807,37
90000,1,5,1,1,0.001,90,3,10.44,7.381021038091237,0,1,1,0,0,0,0,0,1,true,false,true,false,1,0,1,1,0,0,1,false,"0_tours",0,119141,92
90000,2,2,1,0,0.001,90,3,10.44,2.611337031651354,2,1,1,1,0,1,0,0,0,false,true,true,false,0,0,1,0,0,1,1,false,"0_tours",0,144552,90
