"household_id","age","PNUM","sex","pemploy","pstudent","ptype","age_16_to_19","age_16_p","adult","male","female","has_non_worker","has_retiree","has_preschool_kid","has_driving_kid","has_school_kid","has_full_time","has_part_time","has_university","student_is_employed","nonstudent_to_school","is_student","is_gradeschool","is_highschool","is_university","school_segment","is_worker","value_of_time","school_location_logsum","distance_to_school","roundtrip_auto_time_to_school","workplace_location_logsum","distance_to_work","workplace_in_cbd","work_zone_area_type","roundtrip_auto_time_to_work","work_auto_savings","work_auto_savings_ratio","free_parking_at_work","cdap_activity","travel_active","under16_not_at_school","has_preschool_kid_at_home","has_school_kid_at_home","mandatory_tour_frequency","work_and_school_and_worker","work_and_school_and_student","num_mand","num_work_tours","num_joint_tours","non_mandatory_tour_frequency","num_non_mand","num_escort_tours","num_eatout_tours","num_shop_tours","num_maint_tours","num_discr_tours","num_social_tours","num_non_escort_tours","person_id","home_zone_id","school_zone_id","workplace_zone_id"
3013,70,1,1,2,3,2,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,9.11845586521922,,,0,16.46161407304774,13.1393,false,3,46.4325,952.5675,1,false,"M",true,false,false,false,"work1",false,false,1,1,0,0,0,0,0,0,0,0,0,0,9886,86,-1,62
3013,25,2,2,3,3,4,false,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,9.11845586521922,,,0,,,false,,0,0,0,false,"H",false,false,false,false,"",false,false,0,0,0,0,0,0,0,0,0,0,0,0,9887,86,-1,-1
3013,63,3,2,3,3,4,false,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,9.11845586521922,,,0,,,false,,0,0,0,false,"N",true,false,false,false,"",false,false,0,0,0,2,1,0,0,0,0,0,1,1,9888,86,-1,-1
4803,56,1,1,3,3,4,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,2.519906058869698,,,0,,,false,,0,0,0,false,"N",true,false,false,false,"",false,false,0,0,0,4,1,0,1,0,0,0,0,1,15506,116,-1,-1
4803,52,2,2,3,3,4,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,2.519906058869698,,,0,,,false,,0,0,0,false,"N",true,false,false,false,"",false,false,0,0,0,18,2,0,0,1,0,0,1,2,15507,116,-1,-1
4803,34,3,1,3,3,4,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,2.519906058869698,,,0,,,false,,0,0,0,false,"N",true,false,false,false,"",false,false,0,0,0,16,1,0,0,1,0,0,0,1,15508,116,-1,-1
4803,22,4,2,3,3,4,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,2.519906058869698,,,0,,,false,,0,0,0,false,"H",false,false,false,false,"",false,false,0,0,0,0,0,0,0,0,0,0,0,0,15509,116,-1,-1
4803,48,5,1,3,3,4,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,2.519906058869698,,,0,,,false,,0,0,0,false,"N",true,false,false,false,"",false,false,0,0,0,32,1,1,0,0,0,0,0,0,15510,116,-1,-1
5547,65,1,1,2,3,2,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,0,true,14.913231128581813,,,0,15.350167294276588,17.7099,false,3,71.630005,927.37,1,true,"M",true,false,false,false,"work1",false,false,1,1,0,0,0,0,0,0,0,0,0,0,17675,7,-1,37
5547,58,2,2,1,3,1,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0,true,14.913231128581813,,,0,15.351811618692196,8.4453,false,3,36.0075,962.9925,1,true,"M",true,false,false,false,"work1",false,false,1,1,0,0,0,0,0,0,0,0,0,0,17676,7,-1,112
