"person_id","tour_type","tour_type_count","tour_type_num","tour_num","tour_count","tour_category","number_of_participants","household_id","tdd","start","end","duration","composition","destination_logsum","tour_mode","mode_choice_logsum","atwork_subtour_frequency","parent_tour_id","stop_frequency","primary_purpose","tour_id","origin","destination"
9886,"work",1,1,1,1,"mandatory",1,3013,46,7,16,9,"",,"WALK",0.1942690352073454,"no_subtours",,"0out_0in","work",405365,86,62
17675,"work",1,1,1,1,"mandatory",1,5547,171,18,20,2,"",,"WALK",0.1763478165758911,"no_subtours",,"0out_0in","work",724714,7,37
17676,"work",1,1,1,1,"mandatory",1,5547,48,7,18,11,"",,"SHARED3FREE",0.3148423922862688,"no_subtours",,"0out_0in","work",724755,7,112
17677,"work",1,1,1,1,"mandatory",1,5547,48,7,18,11,"",,"WALK",0.10805399928154419,"no_subtours",,"0out_1in","work",724796,7,68
17678,"work",1,1,1,1,"mandatory",1,5547,66,8,20,12,"",,"WALK",0.31854808660570977,"no_subtours",,"0out_0in","work",724837,7,145
26414,"work",2,1,1,2,"mandatory",1,8979,61,8,15,7,"",,"WALK",-0.07994864669074425,"no_subtours",,"0out_0in","work",1083013,34,92
26414,"work",2,2,2,2,"mandatory",1,8979,165,17,20,3,"",,"WALK",-0.0793452191010789,"no_subtours",,"0out_0in","work",1083014,34,92
26415,"work",1,1,1,1,"mandatory",1,8979,35,6,22,16,"",,"WALK",-0.07840110059076776,"eat",,"0out_0in","work",1083054,34,22
26416,"school",1,1,1,1,"mandatory",1,8979,127,13,16,3,"",,"WALK",1.0539505439616978,"",,"0out_0in","univ",1083087,34,34
44898,"work",1,1,1,1,"mandatory",1,15483,47,7,17,10,"",,"WALK",2.3445980685498142,"no_subtours",,"0out_0in","work",1840857,114,52
44899,"work",1,1,1,1,"mandatory",1,15483,62,8,16,8,"",,"WALK",2.3832069681727885,"no_subtours",,"0out_0in","work",1840898,114,51
50026,"work",1,1,1,1,"mandatory",1,17367,51,7,21,14,"",,"WALK",-0.04351348621255349,"no_subtours",,"0out_0in","work",2051105,22,16
50028,"school",1,1,1,1,"mandatory",1,17367,79,9,18,9,"",,"WALK",0.3694630846805422,"",,"0out_0in","school",2051179,22,140
50029,"school",1,1,1,1,"mandatory",1,17367,76,9,15,6,"",,"SHARED3FREE",0.49388570364865364,"",,"2out_0in","school",2051220,22,22
51452,"work",1,1,1,1,"mandatory",1,17826,48,7,18,11,"",,"WALK",-0.006875890858466629,"eat",,"0out_0in","work",2109571,22,45
51453,"work",1,1,1,1,"mandatory",1,17826,32,6,19,13,"",,"WALK",0.010057457535838813,"no_subtours",,"0out_0in","work",2109612,22,126
51454,"school",1,1,1,1,"mandatory",1,17826,48,7,18,11,"",,"WALK",0.38221732752736787,"",,"0out_0in","school",2109645,22,129
79592,"work",1,1,1,1,"mandatory",1,30170,69,8,23,15,"",,"WALK",0.11304358321985875,"eat",,"1out_1in","work",3263311,30,71
81697,"work",1,1,1,1,"mandatory",1,31107,63,8,17,9,"",,"WALK",2.2966301259059545,"business1",,"0out_0in","work",3349616,30,69
81698,"work",1,1,1,1,"mandatory",1,31107,23,6,10,4,"",,"WALK",2.3808942135347175,"no_subtours",,"0out_0in","work",3349657,30,29
81699,"work",1,1,1,1,"mandatory",1,31107,64,8,18,10,"",,"WALK",2.3203166506607533,"no_subtours",,"1out_0in","work",3349698,30,180
81701,"school",1,1,1,1,"mandatory",1,31107,40,7,10,3,"",,"WALK",3.103723177440102,"",,"0out_0in","school",3349772,30,30
81702,"school",1,1,1,1,"mandatory",1,31107,77,9,16,7,"",,"WALK",3.0598846956550774,"",,"0out_0in","school",3349813,30,162
81703,"school",1,1,1,1,"mandatory",1,31107,79,9,18,9,"",,"WALK",3.0203084909706317,"",,"0out_0in","school",3349854,30,82
84470,"work",1,1,1,1,"mandatory",1,32001,34,6,21,15,"",,"WALK",0.3885407835453445,"no_subtours",,"0out_0in","work",3463309,18,6
90311,"work",1,1,1,1,"mandatory",1,33924,34,6,21,15,"",,"WALK",2.4317049023848916,"no_subtours",,"0out_0in","work",3702790,57,114
92600,"work",1,1,1,1,"mandatory",1,35103,107,11,19,8,"",,"WALK",0.4332279068575227,"eat",,"0out_0in","work",3796639,26,176
99409,"work",1,1,1,1,"mandatory",1,38054,48,7,18,11,"",,"WALK",0.14960028770928482,"no_subtours",,"0out_0in","work",4075808,154,140
99410,"work",1,1,1,1,"mandatory",1,38054,80,9,19,10,"",,"WALK",0.15091022611654306,"no_subtours",,"0out_0in","work",4075849,154,140
101576,"work",1,1,1,1,"mandatory",1,39109,48,7,18,11,"",,"WALK",0.22972413158911067,"eat",,"0out_0in","work",4164655,125,11
102171,"work",1,1,1,1,"mandatory",1,39372,66,8,20,12,"",,"WALK",2.260397624906385,"no_subtours",,"0out_3in","work",4189050,125,45
102172,"work",1,1,1,1,"mandatory",1,39372,165,17,20,3,"",,"WALK",2.3893885179118484,"no_subtours",,"0out_0in","work",4189091,125,125
102173,"school",1,1,1,1,"mandatory",1,39372,45,7,15,8,"",,"WALK",3.0322742022779305,"",,"0out_0in","school",4189124,125,125
104421,"work",1,1,1,1,"mandatory",1,40156,148,15,18,3,"",,"BIKE",-0.06249476429599876,"no_subtours",,"0out_0in","work",4281300,125,102
