zone_id,hh,employment_total,enrollment,retail
8864a48483fffff,9,0,0,150
8864a48483fffff,0,20,300,60
8864a48491fffff,47,20,0,930
8864a48491fffff,0,0,0,480
8864a48491fffff,160,160,0,3990
8864a48491fffff,246,320,0,2100
8864a48491fffff,86,140,0,870
8864a48491fffff,0,0,0,60
8864a48491fffff,122,60,0,1410
8864a48493fffff,63,60,300,480
8864a48493fffff,0,40,600,240
8864a48493fffff,148,260,0,1470
8864a48493fffff,17,60,0,240
8864a48493fffff,0,0,0,120
8864a48493fffff,0,60,0,510
8864a48493fffff,148,280,300,1110
8864a48495fffff,123,60,0,840
8864a48495fffff,156,20,300,1530
8864a48495fffff,23,40,1200,420
8864a48495fffff,71,60,0,1440
8864a48495fffff,35,20,300,1440
8864a48495fffff,67,60,0,1500
8864a48495fffff,0,0,300,750
8864a48497fffff,41,180,0,2910
8864a48497fffff,198,180,300,1530
8864a48497fffff,304,80,0,1950
8864a48497fffff,0,60,0,1950
8864a48497fffff,104,160,0,2970
8864a48497fffff,226,340,0,2280
8864a48497fffff,230,20,0,840
8864a48499fffff,123,20,0,300
8864a48499fffff,0,60,300,0
8864a48499fffff,68,0,2100,210
8864a48499fffff,42,0,0,270
8864a48499fffff,90,0,0,570
8864a48499fffff,15,0,0,210
8864a48499fffff,155,20,900,120
8864a4849bfffff,91,0,0,150
8864a4849bfffff,118,60,0,480
8864a4849bfffff,0,0,0,90
8864a4849bfffff,85,80,600,420
8864a4849bfffff,151,60,0,480
8864a4849bfffff,137,80,0,360
8864a4849bfffff,0,0,0,150
8864a4849dfffff,0,80,0,2070
8864a4849dfffff,12,0,0,1470
8864a4849dfffff,43,0,0,420
8864a4849dfffff,78,20,300,1080
8864a4849dfffff,60,0,0,1920
8864a4849dfffff,102,20,0,900
8864a484b1fffff,86,200,0,570
8864a484b1fffff,197,20,0,120
8864a484b1fffff,46,120,0,780
8864a484b1fffff,40,20,0,0
8864a484b1fffff,74,20,0,0
8864a484b1fffff,86,80,0,150
8864a484b1fffff,144,200,300,210
8864a484b3fffff,0,20,0,150
8864a484b3fffff,70,0,0,30
8864a484b3fffff,103,80,300,2460
8864a484b3fffff,252,0,0,270
8864a484b3fffff,0,40,0,0
8864a484b3fffff,0,0,0,0
8864a484b3fffff,212,40,0,540
8864a484b5fffff,50,80,0,0
8864a484b5fffff,26,60,0,750
8864a484b5fffff,40,40,0,1230
8864a484b5fffff,283,80,0,150
8864a484b7fffff,412,40,300,1440
8864a484b7fffff,35,80,0,1110
8864a484b7fffff,136,0,0,540
8864a484b7fffff,142,0,0,150
8864a484b7fffff,133,40,0,510
8864a484b7fffff,124,60,0,450
8864a484b7fffff,107,20,0,1050
8864a484b9fffff,44,0,300,90
8864a484b9fffff,61,20,0,390
8864a484b9fffff,43,0,0,60
8864a484b9fffff,0,40,0,60
8864a484b9fffff,0,0,300,0
8864a484bbfffff,42,40,900,300
8864a484bbfffff,218,80,0,390
8864a484bbfffff,0,0,0,0
8864a484bbfffff,0,60,0,30
8864a484bbfffff,54,20,0,510
8864a484bbfffff,49,0,300,300
8864a484bbfffff,87,20,0,300
8864a484bdfffff,0,20,0,30
8864a484d3fffff,0,40,0,90
8864a484d3fffff,0,0,0,90
8864a484d3fffff,0,0,300,1110
8864a484d3fffff,0,0,0,240
8864a484d3fffff,325,20,0,120
8864a484d3fffff,0,40,0,240
8864a484d3fffff,0,60,0,390
8864a484d7fffff,126,0,0,180
8864a484d7fffff,238,0,0,570
8864a484d7fffff,0,0,0,810
8864a484dbfffff,50,0,0,210
8864a4b02dfffff,0,0,0,0
8864a4b02dfffff,47,20,0,30
8864a4b02dfffff,0,0,0,90
8864a4b101fffff,14,160,0,210
8864a4b101fffff,10,0,300,300
8864a4b101fffff,0,40,0,60
8864a4b101fffff,0,20,300,180
8864a4b101fffff,74,0,600,330
8864a4b101fffff,0,0,0,60
8864a4b101fffff,8,220,0,210
8864a4b103fffff,21,20,0,780
8864a4b103fffff,0,20,300,1260
8864a4b103fffff,116,0,300,480
8864a4b103fffff,8,40,300,300
8864a4b103fffff,7,0,300,1410
8864a4b103fffff,0,40,0,1620
8864a4b103fffff,0,0,300,390
8864a4b105fffff,25,20,300,60
8864a4b105fffff,12,0,0,30
8864a4b105fffff,0,40,0,90
8864a4b105fffff,0,20,0,120
8864a4b105fffff,3,0,300,90
8864a4b105fffff,0,0,0,180
8864a4b105fffff,32,0,300,330
8864a4b107fffff,0,0,0,150
8864a4b107fffff,74,0,300,360
8864a4b107fffff,0,0,0,150
8864a4b107fffff,11,40,300,180
8864a4b107fffff,5,0,0,390
8864a4b107fffff,0,0,0,330
8864a4b107fffff,16,20,0,90
8864a4b109fffff,26,60,0,420
8864a4b109fffff,492,120,0,810
8864a4b109fffff,0,60,300,1080
8864a4b109fffff,0,40,0,360
8864a4b109fffff,205,120,300,1320
8864a4b109fffff,992,0,0,240
8864a4b109fffff,12,20,0,390
8864a4b10bfffff,0,580,300,1620
8864a4b10bfffff,97,20,0,390
8864a4b10bfffff,30,140,0,1650
8864a4b10bfffff,70,20,300,2970
8864a4b10bfffff,24,860,0,2730
8864a4b10bfffff,28,20,0,720
8864a4b10bfffff,12,400,600,3120
8864a4b10dfffff,0,20,600,420
8864a4b10dfffff,12,180,0,2130
8864a4b10dfffff,51,140,0,960
8864a4b10dfffff,0,100,300,900
8864a4b10dfffff,0,20,300,240
8864a4b10dfffff,63,40,0,1140
8864a4b10dfffff,0,20,0,1440
8864a4b111fffff,0,20,0,30
8864a4b115fffff,14,220,0,2520
8864a4b115fffff,0,80,600,630
8864a4b115fffff,0,0,0,1950
8864a4b115fffff,0,0,300,510
8864a4b115fffff,62,100,0,1470
8864a4b119fffff,0,0,0,30
8864a4b119fffff,0,0,0,30
8864a4b119fffff,0,0,0,150
8864a4b119fffff,0,0,0,90
8864a4b11dfffff,28,0,0,150
8864a4b11dfffff,0,0,0,120
8864a4b11dfffff,0,0,600,270
8864a4b11dfffff,0,20,0,150
8864a4b11dfffff,0,0,0,60
8864a4b11dfffff,0,0,0,60
8864a4b11dfffff,5,0,300,600
8864a4b121fffff,0,0,0,180
8864a4b121fffff,0,0,0,60
8864a4b121fffff,0,0,0,30
8864a4b121fffff,0,0,0,0
8864a4b121fffff,0,40,300,600
8864a4b121fffff,0,20,0,210
8864a4b121fffff,0,20,300,180
8864a4b123fffff,0,20,600,180
8864a4b123fffff,0,0,0,210
8864a4b123fffff,0,0,0,60
8864a4b123fffff,0,0,0,30
8864a4b123fffff,0,0,0,0
8864a4b123fffff,0,40,600,60
8864a4b123fffff,0,0,0,30
8864a4b125fffff,0,40,0,0
8864a4b125fffff,0,0,0,90
8864a4b125fffff,0,20,0,120
8864a4b125fffff,0,60,0,0
8864a4b125fffff,0,0,0,180
8864a4b125fffff,0,20,0,150
8864a4b125fffff,0,0,0,30
8864a4b127fffff,0,0,0,150
8864a4b127fffff,56,20,300,210
8864a4b127fffff,0,40,600,120
8864a4b127fffff,9,40,0,240
