osmid,name,activity_type,x,y,wgs84_coords,h3_index,latitude,longitude
1,Unnamed_dining_1,dining,100.4982287,13.7522661,"(100.4982287, 13.7522661)",8864a4b13bfffff,13.7522661,100.4982287
2,มนต์นมสด,dining,100.5011811,13.7541319,"(100.5011811, 13.7541319)",8864a4b139fffff,13.7541319,100.5011811
3,Tak Sura,dining,100.4985255,13.7562992,"(100.4985255, 13.7562992)",8864a4b13bfffff,13.7562992,100.4985255
4,Jae Kee,dining,100.4999776,13.753699,"(100.4999776, 13.753699)",8864a4b139fffff,13.753699,100.4999776
5,Unnamed_other_5,other,100.5014853,13.7531349,"(100.5014853, 13.7531349)",8864a4b139fffff,13.7531349,100.5014853
6,Unnamed_other_6,other,100.5013618,13.7547718,"(100.5013618, 13.7547718)",8864a4b139fffff,13.7547718,100.5013618
7,Unnamed_other_7,other,100.5014277,13.7547684,"(100.5014277, 13.7547684)",8864a4b139fffff,13.7547684,100.5014277
8,Unnamed_other_8,other,100.5013663,13.7548177,"(100.5013663, 13.7548177)",8864a4b139fffff,13.7548177,100.5013663
9,Baan Noppawong,other,100.5006133,13.7562403,"(100.5006133, 13.7562403)",8864a4b139fffff,13.7562403,100.5006133
10,YaYa Coffee Shop,dining,100.5013511,13.7549746,"(100.5013511, 13.7549746)",8864a4b139fffff,13.7549746,100.5013511
11,Baan Dinso,dining,100.5017873,13.7559848,"(100.5017873, 13.7559848)",8864a4b139fffff,13.7559848,100.5017873
12,Thanachart Bank,public_service,100.5019174,13.7559694,"(100.5019174, 13.7559694)",8864a4b139fffff,13.7559694,100.5019174
13,Krua Apsorn,dining,100.5015447,13.7552126,"(100.5015447, 13.7552126)",8864a4b139fffff,13.7552126,100.5015447
14,Unnamed_public_service_14,public_service,100.4984066,13.752485,"(100.4984066, 13.752485)",8864a4b13bfffff,13.752485,100.4984066
15,Tearoom in DSpace,dining,100.4984631,13.7550114,"(100.4984631, 13.7550114)",8864a4b13bfffff,13.7550114,100.4984631
16,ไก่ย่างโบราณ,dining,100.498376,13.7535766,"(100.498376, 13.7535766)",8864a4b13bfffff,13.7535766,100.498376
17,Unnamed_dining_17,dining,100.5012864,13.7542572,"(100.5012864, 13.7542572)",8864a4b139fffff,13.7542572,100.5012864
18,Unnamed_dining_18,dining,100.4987315,13.7562725,"(100.4987315, 13.7562725)",8864a4b13bfffff,13.7562725,100.4987315
19,Unnamed_dining_19,dining,100.4983533,13.753061,"(100.4983533, 13.753061)",8864a4b13bfffff,13.753061,100.4983533
20,7-Eleven,shopping,100.5012317,13.7546474,"(100.5012317, 13.7546474)",8864a4b139fffff,13.7546474,100.5012317
21,Unnamed_other_21,other,100.5006488,13.7545588,"(100.5006488, 13.7545588)",8864a4b139fffff,13.7545588,100.5006488
22,Unnamed_other_22,other,100.5008359,13.7548455,"(100.5008359, 13.7548455)",8864a4b139fffff,13.7548455,100.5008359
23,Unnamed_other_23,other,100.5006792,13.7545701,"(100.5006792, 13.7545701)",8864a4b139fffff,13.7545701,100.5006792
24,Unnamed_dining_24,dining,100.5011985,13.7542326,"(100.5011985, 13.7542326)",8864a4b139fffff,13.7542326,100.5011985
25,ส. หน้าวัง,dining,100.501223,13.7544292,"(100.501223, 13.7544292)",8864a4b139fffff,13.7544292,100.501223
26,Unnamed_shopping_26,shopping,100.5006412,13.7551534,"(100.5006412, 13.7551534)",8864a4b139fffff,13.7551534,100.5006412
27,thaï thaï travel,shopping,100.4981315,13.7546007,"(100.4981315, 13.7546007)",8864a4b13bfffff,13.7546007,100.4981315
28,luck-yimm,other,100.4999007,13.7531493,"(100.4999007, 13.7531493)",8864a4b139fffff,13.7531493,100.4999007
29,Unnamed_dining_29,dining,100.5014427,13.7545616,"(100.5014427, 13.7545616)",8864a4b139fffff,13.7545616,100.5014427
30,มิตรโกหย่วน,dining,100.5010777,13.7537994,"(100.5010777, 13.7537994)",8864a4b139fffff,13.7537994,100.5010777
31,Monkey Cave,dining,100.4987562,13.7558803,"(100.4987562, 13.7558803)",8864a4b13bfffff,13.7558803,100.4987562
32,Unnamed_other_32,other,100.5015419,13.7561892,"(100.5015419, 13.7561892)",8864a4b139fffff,13.7561892,100.5015419
33,Banankhon Hostel,other,100.5007686,13.7550188,"(100.5007686, 13.7550188)",8864a4b139fffff,13.7550188,100.5007686
34,Foxhole BKK,dining,100.4981282,13.7547318,"(100.4981282, 13.7547318)",8864a4b13bfffff,13.7547318,100.4981282
35,Unnamed_other_35,other,100.5001613,13.7557642,"(100.5001613, 13.7557642)",8864a4b139fffff,13.7557642,100.5001613
36,Krua Apsorn,dining,100.501566,13.7552949,"(100.501566, 13.7552949)",8864a4b139fffff,13.7552949,100.501566
37,Unnamed_shopping_37,shopping,100.4999006,13.7535929,"(100.4999006, 13.7535929)",8864a4b139fffff,13.7535929,100.4999006
38,Uncle and Friends,dining,100.4997739,13.753713,"(100.4997739, 13.753713)",8864a4b139fffff,13.753713,100.4997739
39,Unnamed_dining_39,dining,100.4981095,13.7561512,"(100.4981095, 13.7561512)",8864a4b13bfffff,13.7561512,100.4981095
40,Unnamed_dining_40,dining,100.4988807,13.7562339,"(100.4988807, 13.7562339)",8864a4b13bfffff,13.7562339,100.4988807
41,Unnamed_shopping_41,shopping,100.498328,13.7522712,"(100.498328, 13.7522712)",8864a4b13bfffff,13.7522712,100.498328
42,Unnamed_dining_42,dining,100.4982466,13.752422,"(100.4982466, 13.752422)",8864a4b13bfffff,13.752422,100.4982466
43,All vegan dumplings,dining,100.4983039,13.752688,"(100.4983039, 13.752688)",8864a4b13bfffff,13.752688,100.4983039
44,Unnamed_public_service_44,public_service,100.4983326,13.7530112,"(100.4983326, 13.7530112)",8864a4b13bfffff,13.7530112,100.4983326
45,ตะนาวเภสัช,other,100.4984058,13.7534984,"(100.4984058, 13.7534984)",8864a4b13bfffff,13.7534984,100.4984058
46,Great Wall Tours Co.ltd.,shopping,100.4986549,13.7538991,"(100.4986549, 13.7538991)",8864a4b13bfffff,13.7538991,100.4986549
47,7-Eleven,shopping,100.4988102,13.7538757,"(100.4988102, 13.7538757)",8864a4b13bfffff,13.7538757,100.4988102
48,Unnamed_shopping_48,shopping,100.4985631,13.7539947,"(100.4985631, 13.7539947)",8864a4b13bfffff,13.7539947,100.4985631
49,Unnamed_dining_49,dining,100.4983212,13.7528063,"(100.4983212, 13.7528063)",8864a4b13bfffff,13.7528063,100.4983212
50,Unnamed_other_50,other,100.4984322,13.7530924,"(100.4984322, 13.7530924)",8864a4b13bfffff,13.7530924,100.4984322
51,Unnamed_education_51,education,100.4987897,13.7542865,"(100.4987897, 13.7542865)",8864a4b13bfffff,13.7542865,100.4987897
52,7-Eleven,shopping,100.4985151,13.754506,"(100.4985151, 13.754506)",8864a4b13bfffff,13.754506,100.4985151
53,Unnamed_shopping_53,shopping,100.4983352,13.7523941,"(100.4983352, 13.7523941)",8864a4b13bfffff,13.7523941,100.4983352
54,Unnamed_dining_54,dining,100.4985226,13.7546457,"(100.4985226, 13.7546457)",8864a4b13bfffff,13.7546457,100.4985226
55,เจ สุขภาพ,dining,100.4985342,13.7536277,"(100.4985342, 13.7536277)",8864a4b13bfffff,13.7536277,100.4985342
56,Roadside Laundry (20-30Bth),shopping,100.4998197,13.7554908,"(100.4998197, 13.7554908)",8864a4b139fffff,13.7554908,100.4998197
57,Baan kachipan,other,100.5001447,13.7555745,"(100.5001447, 13.7555745)",8864a4b139fffff,13.7555745,100.5001447
58,โรงแรมดินสอมนต์,other,100.5015672,13.7559553,"(100.5015672, 13.7559553)",8864a4b139fffff,13.7559553,100.5015672
59,Unnamed_transit_59,transit,100.5019886,13.7525337,"(100.5019886, 13.7525337)",8864a4b139fffff,13.7525337,100.5019886
60,Unnamed_transit_60,transit,100.5011142,13.7526797,"(100.5011142, 13.7526797)",8864a4b139fffff,13.7526797,100.5011142
61,Unnamed_transit_61,transit,100.5011323,13.7527715,"(100.5011323, 13.7527715)",8864a4b139fffff,13.7527715,100.5011323
62,Unnamed_transit_62,transit,100.5013386,13.7521819,"(100.5013386, 13.7521819)",8864a4b139fffff,13.7521819,100.5013386
63,Unnamed_transit_63,transit,100.5013417,13.752148,"(100.5013417, 13.752148)",8864a4b139fffff,13.752148,100.5013417
64,Unnamed_transit_64,transit,100.5016099,13.752111,"(100.5016099, 13.752111)",8864a4b139fffff,13.752111,100.5016099
65,Unnamed_dining_65,dining,100.4984305,13.7530241,"(100.4984305, 13.7530241)",8864a4b13bfffff,13.7530241,100.4984305
66,รสชาติกะเพรา,dining,100.4990266,13.7536737,"(100.4990266, 13.7536737)",8864a4b13bfffff,13.7536737,100.4990266
67,Room Quest Rim Praya,other,100.5002093,13.7558608,"(100.5002093, 13.7558608)",8864a4b139fffff,13.7558608,100.5002093
68,Unnamed_other_68,other,100.5002912,13.7555451,"(100.5002912, 13.7555451)",8864a4b139fffff,13.7555451,100.5002912
69,ก๋วยจั๊บญวณ-พระนคร,dining,100.4985386,13.753666,"(100.4985386, 13.753666)",8864a4b13bfffff,13.753666,100.4985386
70,คาเฟ่ อเมซอน,dining,100.4987806,13.7536759,"(100.4987806, 13.7536759)",8864a4b13bfffff,13.7536759,100.4987806
71,ปาท่องโก๋เสวย,dining,100.4982841,13.7525982,"(100.4982841, 13.7525982)",8864a4b13bfffff,13.7525982,100.4982841
72,Unnamed_other_72,other,100.5015924,13.7521176,"(100.5015924, 13.7521176)",8864a4b139fffff,13.7521176,100.5015924
73,street food,dining,100.4986781,13.7531911,"(100.4986781, 13.7531911)",8864a4b13bfffff,13.7531911,100.4986781
74,Chests place,other,100.5004847,13.7558342,"(100.5004847, 13.7558342)",8864a4b139fffff,13.7558342,100.5004847
75,Unnamed_transit_75,transit,100.5014942,13.753193,"(100.5014942, 13.753193)",8864a4b139fffff,13.753193,100.5014942
76,Unnamed_transit_76,transit,100.5015076,13.7532212,"(100.5015076, 13.7532212)",8864a4b139fffff,13.7532212,100.5015076
77,ศูนย์สังคีตศิลป์,leisure,100.4986861,13.7525554,"(100.4986861, 13.7525554)",8864a4b13bfffff,13.7525554,100.4986861
78,วินแพร่งนรา,other,100.4983746,13.7525191,"(100.4983746, 13.7525191)",8864a4b13bfffff,13.7525191,100.4983746
79,สุขนิยม,other,100.4993873,13.752644,"(100.4993873, 13.752644)",8864a4b13bfffff,13.752644,100.4993873
80,Ducamtim,other,100.4998678,13.7526117,"(100.4998678, 13.7526117)",8864a4b139fffff,13.7526117,100.4998678
81,Mahannop,other,100.4987341,13.7536601,"(100.4987341, 13.7536601)",8864a4b13bfffff,13.7536601,100.4987341
82,Greenhorn Bicycle Project,shopping,100.4985788,13.7551183,"(100.4985788, 13.7551183)",8864a4b13bfffff,13.7551183,100.4985788
83,Unnamed_leisure_83,leisure,100.5014848,13.7548064,"(100.5014848, 13.7548064)",8864a4b139fffff,13.7548064,100.5014848
84,Unnamed_other_84,other,100.5002534,13.7551982,"(100.5002534, 13.7551982)",8864a4b139fffff,13.7551982,100.5002534
85,Unnamed_leisure_85,leisure,100.5015101,13.75482,"(100.5015101, 13.75482)",8864a4b139fffff,13.75482,100.5015101
86,Unnamed_leisure_86,leisure,100.5015619,13.7548033,"(100.5015619, 13.7548033)",8864a4b139fffff,13.7548033,100.5015619
87,Unnamed_leisure_87,leisure,100.5015361,13.754811,"(100.5015361, 13.754811)",8864a4b139fffff,13.754811,100.5015361
88,Unnamed_shopping_88,shopping,100.4981125,13.7561132,"(100.4981125, 13.7561132)",8864a4b13bfffff,13.7561132,100.4981125
89,Unnamed_other_89,other,100.5004955,13.7534479,"(100.5004955, 13.7534479)",8864a4b139fffff,13.7534479,100.5004955
90,Unnamed_leisure_90,leisure,100.5014815,13.7548159,"(100.5014815, 13.7548159)",8864a4b139fffff,13.7548159,100.5014815
91,Unnamed_other_91,other,100.5019636,13.7532016,"(100.5019636, 13.7532016)",8864a4b139fffff,13.7532016,100.5019636
92,Unnamed_other_92,other,100.4989285,13.7560793,"(100.4989285, 13.7560793)",8864a4b13bfffff,13.7560793,100.4989285
93,Unnamed_shopping_93,shopping,100.5014021,13.7552388,"(100.5014021, 13.7552388)",8864a4b139fffff,13.7552388,100.5014021
94,Unnamed_shopping_94,shopping,100.5016385,13.7553405,"(100.5016385, 13.7553405)",8864a4b139fffff,13.7553405,100.5016385
95,ศาลาว่าการกรุงเทพมหานคร,work,100.5017902654702,13.753925710537164,"(100.5017902654702, 13.753925710537164)",8864a4b139fffff,13.753925710537164,100.5017902654702
96,Unnamed_park_96,park,100.50179342783989,13.75416926727463,"(100.50179342783989, 13.75416926727463)",8864a4b139fffff,13.75416926727463,100.50179342783989
97,วัดมหรรณพารามวรวิหาร,religion,100.49936550326822,13.754702687172266,"(100.49936550326822, 13.754702687172266)",8864a4b13bfffff,13.754702687172266,100.49936550326822
98,ถนนตะนาว,other,100.49845413388066,13.753511245913684,"(100.49845413388066, 13.753511245913684)",8864a4b13bfffff,13.753511245913684,100.49845413388066
99,Unnamed_home_99,home,100.50011331429232,13.75624320552846,"(100.50011331429232, 13.75624320552846)",8864a4b139fffff,13.75624320552846,100.50011331429232
100,Unnamed_home_100,home,100.4995511806224,13.75571550468002,"(100.4995511806224, 13.75571550468002)",8864a4b13bfffff,13.75571550468002,100.4995511806224
