osmid,name,activity_type,x,y,wgs84_coords,h3_index,latitude,longitude
1,Manna,dining,100.5345542,13.7477023,"(100.5345542, 13.7477023)",8964a4b1633ffff,13.7477023,100.5345542
2,Paragon Cineplex,leisure,100.5350396,13.746019,"(100.5350396, 13.746019)",8964a4b16afffff,13.746019,100.5350396
3,Unnamed_transit_3,transit,100.5354905,13.7476296,"(100.5354905, 13.7476296)",8964a4b1633ffff,13.7476296,100.5354905
4,Sea Life Bangkok,other,100.5351201,13.7459878,"(100.5351201, 13.7459878)",8964a4b16afffff,13.7459878,100.5351201
5,Unnamed_transit_5,transit,100.5339251,13.7464376,"(100.5339251, 13.7464376)",8964a4b16afffff,13.7464376,100.5339251
6,ธนาคารกรุงเทพ,public_service,100.5345541,13.7453629,"(100.5345541, 13.7453629)",8964a4b16afffff,13.7453629,100.5345541
7,Unnamed_transit_7,transit,100.5336465,13.7464597,"(100.5336465, 13.7464597)",8964a4b16afffff,13.7464597,100.5336465
8,Unnamed_transit_8,transit,100.5336353,13.7463699,"(100.5336353, 13.7463699)",8964a4b16afffff,13.7463699,100.5336353
9,Unnamed_transit_9,transit,100.5320585,13.74674,"(100.5320585, 13.74674)",8964a4b1637ffff,13.74674,100.5320585
10,Unnamed_transit_10,transit,100.5320956,13.7469489,"(100.5320956, 13.7469489)",8964a4b1637ffff,13.7469489,100.5320956
11,Unnamed_transit_11,transit,100.5357936,13.7469039,"(100.5357936, 13.7469039)",8964a4b16abffff,13.7469039,100.5357936
12,Unnamed_transit_12,transit,100.5352525,13.7479034,"(100.5352525, 13.7479034)",8964a4b1633ffff,13.7479034,100.5352525
13,Unnamed_transit_13,transit,100.5358803,13.7473944,"(100.5358803, 13.7473944)",8964a4b16abffff,13.7473944,100.5358803
14,Unnamed_transit_14,transit,100.5357027,13.7463901,"(100.5357027, 13.7463901)",8964a4b16abffff,13.7463901,100.5357027
15,Unnamed_other_15,other,100.5349099,13.7456832,"(100.5349099, 13.7456832)",8964a4b16afffff,13.7456832,100.5349099
16,Burberry,shopping,100.5355422,13.7459928,"(100.5355422, 13.7459928)",8964a4b16abffff,13.7459928,100.5355422
17,Scintilla Gioielli,shopping,100.5342828,13.7469662,"(100.5342828, 13.7469662)",8964a4b16afffff,13.7469662,100.5342828
18,Books Kinokuniya,shopping,100.5354367,13.7458551,"(100.5354367, 13.7458551)",8964a4b16abffff,13.7458551,100.5354367
19,Scala Shark's Fin,dining,100.5346032,13.7472123,"(100.5346032, 13.7472123)",8964a4b1633ffff,13.7472123,100.5346032
20,Chloé,shopping,100.5348639,13.7459344,"(100.5348639, 13.7459344)",8964a4b16afffff,13.7459344,100.5348639
21,The Grill Tokyo,dining,100.5346401,13.7474182,"(100.5346401, 13.7474182)",8964a4b1633ffff,13.7474182,100.5346401
