pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
atwork---eatout	8	7	12	7	7	7	3	4	2	1	0	0	0
atwork---escort	3	1	1	4	2	0	0	0	0	0	1	0	0
atwork---othdiscr	0	1	1	0	0	0	0	0	0	0	0	0	0
atwork---othmaint	2	2	4	6	6	2	5	1	1	0	0	0	0
atwork---shopping	2	7	5	8	7	5	2	2	0	0	0	0	0
atwork---social	0	0	0	0	0	0	1	0	0	0	0	0	0
atwork---work	51	67	76	90	88	95	31	34	18	10	3	0	0
eatout---atwork	2	3	5	5	2	2	3	2	1	0	0	0	0
eatout---eatout	0	2	6	5	6	5	4	0	0	0	0	0	0
eatout---escort	1	5	6	8	6	1	3	0	0	0	0	0	0
eatout---home	79	125	126	163	166	104	58	33	16	3	5	0	0
eatout---othdiscr	3	3	4	4	3	5	4	0	1	0	1	0	0
eatout---othmaint	4	3	9	8	2	4	0	3	0	0	0	0	0
eatout---school	1	0	0	1	1	1	0	1	0	0	0	0	0
eatout---shopping	10	17	10	12	15	9	3	2	1	0	0	0	0
eatout---social	0	3	1	3	3	2	1	0	1	0	0	0	0
eatout---univ	1	0	3	2	0	0	0	0	1	0	0	0	0
eatout---work	8	21	17	23	17	18	12	1	1	0	0	0	0
escort---atwork	0	1	1	5	2	5	0	0	1	0	0	0	0
escort---eatout	4	9	7	8	6	2	2	1	2	0	0	0	0
escort---escort	6	16	15	14	12	8	5	4	2	0	1	0	0
escort---home	91	77	74	89	92	52	43	15	7	5	3	0	0
escort---othdiscr	6	7	6	11	2	3	3	1	0	0	1	0	0
escort---othmaint	7	8	8	10	2	9	2	2	0	0	0	0	0
escort---school	2	5	6	0	10	1	6	3	0	0	0	0	0
escort---shopping	13	10	14	11	10	9	11	4	6	0	0	0	0
escort---social	1	3	4	3	3	4	0	1	1	0	0	0	0
escort---univ	4	4	5	6	5	2	0	3	0	0	0	0	0
escort---work	25	21	35	40	29	26	14	13	6	0	3	0	0
home---atwork	1	1	1	1	1	1	0	0	0	0	0	0	0
home---eatout	1	3	7	10	10	2	4	1	1	1	0	0	0
home---escort	29	33	14	31	22	23	12	6	3	2	0	0	0
home---othdiscr	20	23	36	40	36	30	19	6	3	3	0	0	0
home---othmaint	47	31	43	55	46	35	21	12	3	3	0	0	0
home---school	18	10	16	15	19	11	3	5	2	0	1	0	0
home---shopping	79	59	76	67	102	66	29	25	14	3	0	0	0
home---social	22	17	25	25	25	18	11	8	1	2	1	0	0
home---univ	8	5	2	8	3	7	2	1	2	0	0	0	0
home---work	116	90	105	150	112	102	47	39	14	6	2	0	0
othdiscr---atwork	0	0	0	0	1	0	0	0	0	0	0	0	0
othdiscr---eatout	8	3	8	8	8	8	2	5	0	1	0	0	0
othdiscr---escort	3	5	2	6	6	6	4	1	1	0	0	0	0
othdiscr---home	119	168	155	195	189	163	73	38	13	2	3	0	0
othdiscr---othdiscr	2	2	5	10	3	4	0	0	0	0	2	0	0
othdiscr---othmaint	4	6	4	7	5	3	2	1	0	1	0	0	0
othdiscr---school	0	1	2	2	1	0	0	1	0	0	0	0	0
othdiscr---shopping	11	15	10	17	14	6	2	2	0	0	0	0	0
othdiscr---social	1	2	2	5	4	2	1	0	0	0	0	0	0
othdiscr---univ	0	1	2	1	1	0	0	0	0	0	0	0	0
othdiscr---work	7	6	1	3	4	5	1	1	0	0	0	0	0
othmaint---atwork	2	2	7	7	8	4	2	1	3	0	0	0	0
othmaint---eatout	7	6	10	15	8	7	3	5	1	2	0	0	0
othmaint---escort	7	6	8	9	6	4	4	2	1	0	1	0	0
othmaint---home	144	103	129	157	148	106	65	27	19	3	4	0	0
othmaint---othdiscr	4	6	7	6	4	4	2	1	0	1	0	0	0
othmaint---othmaint	14	11	16	17	8	8	5	3	3	0	0	0	0
othmaint---school	2	1	3	1	1	0	0	0	0	0	0	0	0
