iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;00:41:14;00:41:14;00:41:14;;;00:41:14;00:41:14;00:41:14;00:41:14;00:41:14;00:41:14;00:41:14;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
1;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:16;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
2;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;00:41:18;;;00:41:18;00:41:18;00:41:18;00:41:18;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
3;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;00:41:19;;;00:41:19;00:41:19;00:41:19;00:41:19;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
4;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;00:41:20;;;00:41:20;00:41:20;00:41:20;00:41:20;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
5;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;00:41:22;;;00:41:22;00:41:22;00:41:22;00:41:22;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
6;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;00:41:23;;;00:41:23;00:41:23;00:41:23;00:41:23;00:41:24;00:41:24;00:41:24;00:41:24;00:41:24;00:41:24;00:41:25;00:41:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
7;00:41:25;00:41:25;00:41:25;00:41:25;00:41:25;00:41:25;;;00:41:25;00:41:25;00:41:25;00:41:25;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
8;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;00:41:26;;;00:41:26;00:41:26;00:41:26;00:41:26;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
9;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;00:41:27;;;00:41:27;00:41:27;00:41:27;00:41:27;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
10;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;00:41:29;;;00:41:29;00:41:29;00:41:29;00:41:29;00:41:30;00:41:30;00:41:30;00:41:30;00:41:30;00:41:30;00:41:30;00:41:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
