iteration;avg_executed;avg_worst;avg_average;avg_best
0;26.16129332407071;26.16129332407071;26.16129332407071;26.16129332407071
1;26.16003594803511;26.16001070192643;26.16066460110204;26.16131850027762
2;26.158641879370357;26.158578136424435;26.15997385440719;26.161333391306187
3;26.15782800906166;26.157591658567203;26.159526072280002;26.16134149446626
4;26.156748726778954;26.156329967949933;26.158925330964486;26.161366788795945
5;26.155705454658275;26.155044974073398;26.158317158711142;26.161365102674576
6;26.154755660517864;26.15378344207686;26.157725380092298;26.161369416709466
7;26.15441746421018;26.153082475365323;26.157386663929806;26.161380731434427
8;26.153225241251064;26.15161119908631;26.156675874112945;26.161402737177344
9;26.15250934960306;26.150270796368495;26.156148985038694;26.1614141489079
10;26.15191918744948;26.14863727442031;26.155554161559323;26.16143098161895
