ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;0.016008508246405574;0.016008508246405574
1;0.017503803123285748;0.017503803123285748
2;0.017288321229223004;0.017288321229223004
3;0.017248173691902857;0.017248173691902857
4;0.01703521609744215;0.01703521609744215
5;0.016677122960218258;0.016677122960218258
6;0.016721638132261765;0.016721638132261765
7;0.01683018724583161;0.01683018724583161
8;0.016564155756724385;0.016564155756724385
9;0.017385927961512507;0.017385927961512507
10;0.017349836052424863;0.017349836052424863
