"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
9886,3013,"work",1,true,1,405365,"work",,7,"WALK",1.603492913364629,3242921,86,62
9886,3013,"work",1,false,1,405365,"home",,16,"WALK",1.6034943970352848,3242925,62,86
9888,3013,"social",1,true,1,405444,"social",,9,"WALK",2.437312113143662,3243553,86,45
9888,3013,"social",1,false,1,405444,"home",,11,"WALK",2.4373208039157035,3243557,45,86
15506,4803,"eatout",1,true,1,635752,"eatout",,16,"WALK",6.691736645602864,5086017,116,5
15506,4803,"eatout",1,false,1,635752,"home",,19,"WALK",6.691736647362332,5086021,5,116
15507,4803,"shopping",1,true,1,635820,"shopping",,8,"WALK",3.40142242449611,5086561,116,16
15507,4803,"shopping",1,false,1,635820,"home",,12,"WALK",3.4014224287635155,5086565,16,116
15507,4803,"social",1,true,1,635823,"social",,16,"WALK",2.5674298056050993,5086585,116,136
15507,4803,"social",1,false,1,635823,"home",,18,"WALK",2.5674299600796546,5086589,136,116
15508,4803,"shopping",1,true,1,635861,"shopping",,11,"WALK",5.5578177767860355,5086889,116,19
15508,4803,"shopping",1,false,1,635861,"home",,12,"WALK",5.557817776251806,5086893,19,116
15510,4803,"escort",1,true,1,635919,"escort",,8,"WALK",3.0548852845806436,5087353,116,47
15510,4803,"escort",1,false,1,635919,"home",,9,"WALK",3.0548852686861125,5087357,47,116
17675,5547,"work",1,true,1,724714,"work",,18,"WALK",0.6895560512259133,5797713,7,37
17675,5547,"work",1,false,1,724714,"home",,20,"WALK",0.689572518819244,5797717,37,7
17676,5547,"work",1,true,1,724755,"work",,7,"WALK",2.425036391356682,5798041,7,112
17676,5547,"work",1,false,1,724755,"home",,18,"WALK",2.425809173717856,5798045,112,7
17677,5547,"escort",1,true,1,724766,"escort",,18,"TNC_SINGLE",-0.5390432917050066,5798129,7,89
17677,5547,"escort",1,false,1,724766,"home",,18,"TNC_SINGLE",-0.7653234356260363,5798133,89,7
17677,5547,"work",1,true,1,724796,"work",,7,"WALK",1.4601060629574711,5798369,7,68
17677,5547,"work",1,false,2,724796,"othmaint",22.71548188841762,18,"WALK",1.460105665864431,5798373,68,89
17677,5547,"work",2,false,2,724796,"home",,18,"WALK",3.340368716727178,5798374,89,7
17678,5547,"work",1,true,1,724837,"work",,8,"WALK",4.9378613971199,5798697,7,145
17678,5547,"work",1,false,1,724837,"home",,20,"WALK",4.93786184983671,5798701,145,7
26414,8979,"work",1,true,1,1083013,"work",,8,"WALK",2.9713046166873704,8664105,34,92
26414,8979,"work",1,false,1,1083013,"home",,15,"WALK",2.9713046166890478,8664109,92,34
26414,8979,"work",1,true,1,1083014,"work",,17,"WALK",2.9713046166873833,8664113,34,92
26414,8979,"work",1,false,1,1083014,"home",,20,"WALK",2.971304616690647,8664117,92,34
26415,8979,"atwork",1,true,1,1083019,"atwork",,13,"WALK",1.2704228707908438,8664153,22,22
26415,8979,"atwork",1,false,1,1083019,"work",,13,"WALK",1.2704228707908438,8664157,22,22
26415,8979,"work",1,true,1,1083054,"work",,6,"WALK",0.6717523095686105,8664433,34,22
26415,8979,"work",1,false,1,1083054,"home",,22,"WALK",0.6717523099877697,8664437,22,34
26416,8979,"univ",1,true,1,1083087,"univ",,13,"WALK",-0.3008306070321721,8664697,34,34
26416,8979,"univ",1,false,1,1083087,"home",,16,"WALK",-0.3008379400689226,8664701,34,34
41281,13594,"shopping",1,true,1,1692540,"shopping",,10,"WALK",4.093542629711065,13540321,145,136
41281,13594,"shopping",1,false,1,1692540,"home",,13,"WALK",4.093343635493388,13540325,136,145
41281,13594,"othdiscr",1,true,1,1692546,"othdiscr",,17,"WALK",6.169020777760898,13540369,145,128
41281,13594,"othdiscr",1,false,1,1692546,"home",,20,"WALK",6.1690207982318865,13540373,128,145
42190,14296,"othmaint",1,true,1,1729807,"othmaint",,11,"WALK",2.860238053123422,13838457,128,64
42190,14296,"othmaint",1,false,1,1729807,"home",,13,"WALK",2.862357763119157,13838461,64,128
42190,14296,"shopping",1,true,1,1729823,"shopping",,14,"WALK",0.9776294113149386,13838585,128,14
42190,14296,"shopping",1,false,1,1729823,"home",,16,"WALK",0.8853515278071356,13838589,14,128
44898,15483,"othmaint",1,true,1,1840846,"othmaint",,19,"WALK",0.8888914330109209,14726769,114,1
44898,15483,"othmaint",1,false,1,1840846,"home",,19,"WALK",0.8888914362775644,14726773,1,114
44898,15483,"work",1,true,1,1840857,"work",,7,"WALK",3.337222389960521,14726857,114,52
44898,15483,"work",1,false,1,1840857,"home",,17,"WALK",3.3372223921260384,14726861,52,114
44899,15483,"work",1,true,1,1840898,"work",,8,"WALK",2.8698224336548224,14727185,114,51
44899,15483,"work",1,false,1,1840898,"home",,16,"WALK",2.86982252632715,14727189,51,114
50026,17367,"work",1,true,1,2051105,"work",,7,"WALK",2.3521252768730223,16408841,22,16
50026,17367,"work",1,false,1,2051105,"home",,21,"WALK",2.352125284762905,16408845,16,22
50027,17367,"escort",1,true,1,2051116,"escort",,15,"DRIVEALONEFREE",0.661045542277305,16408929,22,22
50027,17367,"escort",1,false,1,2051116,"home",,15,"SHARED2FREE",0.661045542277305,16408933,22,22
50027,17367,"escort",1,true,1,2051117,"escort",,17,"WALK",1.2704281175107017,16408937,22,22
50027,17367,"escort",1,false,4,2051117,"shopping",18.38507058936479,17,"WALK",1.2704041701421127,16408941,22,70
50027,17367,"escort",2,false,4,2051117,"othdiscr",20.80898845675115,17,"WALK",1.978561626255594,16408942,70,157
50027,17367,"escort",3,false,4,2051117,"shopping",25.020356979900175,18,"WALK",3.708322383239151,16408943,157,157
50027,17367,"escort",4,false,4,2051117,"home",,18,"WALK",3.7083202804902493,16408944,157,22
50028,17367,"school",1,true,1,2051179,"school",,9,"WALK",1.3544620192040482,16409433,22,140
50028,17367,"school",1,false,1,2051179,"home",,18,"WALK",1.354462016153503,16409437,140,22
50029,17367,"othdiscr",1,true,1,2051214,"othdiscr",,16,"WALK",1.3067528135306532,16409713,22,22
50029,17367,"othdiscr",1,false,1,2051214,"home",,19,"WALK",1.2372796879160213,16409717,22,22
50029,17367,"school",1,true,3,2051220,"escort",14.3784160499567,9,"WALK",2.3658935094582922,16409761,22,169
50029,17367,"school",2,true,3,2051220,"escort",18.1391151139944,10,"WALK",4.740014549334392,16409762,169,57
50029,17367,"school",3,true,3,2051220,"school",,11,"WALK",-0.38453077530028057,16409763,57,22
50029,17367,"school",1,false,1,2051220,"home",,15,"SHARED3FREE",-0.24326088672044724,16409765,22,22
51452,17826,"atwork",1,true,1,2109536,"atwork",,10,"WALK",3.9473024693326035,16876289,45,71
51452,17826,"atwork",1,false,1,2109536,"work",,10,"WALK",3.9473017364661094,16876293,71,45
51452,17826,"work",1,true,1,2109571,"work",,7,"WALK",2.734021060441444,16876569,22,45
51452,17826,"work",1,false,1,2109571,"home",,18,"WALK",2.734021118608803,16876573,45,22
51453,17826,"work",1,true,1,2109612,"work",,6,"WALK",0.38440705638511496,16876897,22,126
51453,17826,"work",1,false,1,2109612,"home",,19,"WALK",0.38440640551400374,16876901,126,22
51454,17826,"othdiscr",1,true,1,2109639,"othdiscr",,18,"WALK",1.270489512815079,16877113,22,22
51454,17826,"othdiscr",1,false,1,2109639,"home",,20,"WALK",1.2704976134354775,16877117,22,22
51454,17826,"school",1,true,1,2109645,"school",,7,"WALK",1.2192446044279557,16877161,22,129
51454,17826,"school",1,false,1,2109645,"home",,18,"WALK",1.2192451499604862,16877165,129,22
51455,17826,"escort",1,true,1,2109664,"escort",,11,"WALK",0.43168593591491794,16877313,22,22
51455,17826,"escort",1,false,1,2109664,"home",,14,"SHARED2FREE",0.38630612279998156,16877317,22,22
51455,17826,"othmaint",1,true,1,2109683,"othmaint",,15,"WALK",1.2626970519794034,16877465,22,48
51455,17826,"othmaint",1,false,1,2109683,"home",,22,"WALK",1.262701444650688,16877469,48,22
51456,17826,"othdiscr",1,true,1,2109721,"othdiscr",,10,"WALK",2.149750760862521,16877769,22,32
51456,17826,"othdiscr",1,false,1,2109721,"home",,22,"WALK",2.1497511046995186,16877773,32,22
79591,30170,"othdiscr",1,true,1,3263256,"othdiscr",,9,"WALK",2.424903136085049,26106049,30,40
